class_type,wristX,wristY,wristZ,thumb_CmcX,thumb_CmcY,thumb_CmcZ,thumb_McpX,thumb_McpY,thumb_McpZ,thumb_IpX,thumb_IpY,thumb_IpZ,thumb_TipX,thumb_TipY,thumb_TipZ,index_McpX,index_McpY,index_McpZ,index_PipX,index_PipY,index_PipZ,index_DipX,index_DipY,index_DipZ,index_TipX,index_TipY,index_TipZ,middle_McpX,middle_McpY,middle_McpZ,middle_PipX,middle_PipY,middle_PipZ,middle_DipX,middle_DipY,middle_DipZ,middle_TipX,middle_TipY,middle_TipZ,ring_McpX,ring_McpY,ring_McpZ,ring_PipX,ring_PipY,ring_PipZ,ring_DipX,ring_DipY,ring_DipZ,ring_TipX,ring_TipY,ring_TipZ,pinky_McpX,pinky_McpY,pinky_McpZ,pinky_PipX,pinky_PipY,pinky_PipZ,pinky_DipX,pinky_DipY,pinky_DipZ,pinky_TipX,pinky_TipY,pinky_TipZ
A,633.0769211053848,1031.7945675849915,-1.0292080787621671e-06,552.7404695749283,1014.5966291427612,-0.016873124986886978,488.762229681015,950.0723164081573,-0.015833541750907898,455.2092254161835,895.0737717151642,-0.01966375671327114,434.99748408794403,849.931687951088,-0.014051259495317936,511.63454353809357,880.0742770433426,0.032435864210128784,481.5032333135605,849.5866827964783,-0.014633375220000744,502.7224123477936,905.984092593193,-0.038530562072992325,522.3532766103745,927.607861161232,-0.04577728733420372,554.972380399704,866.4886753559113,0.02514233998954296,523.0691134929657,841.6638091802597,-0.018498964607715607,541.4496213197708,909.0131249427795,-0.023128721863031387,559.5243126153946,913.929786324501,-0.01299526821821928,602.8438657522202,861.7488499879837,0.006893528625369072,571.6221034526825,835.4019536972046,-0.035512372851371765,581.6682279109955,899.3833544254303,-0.012479694560170174,599.6921360492706,906.2500622272491,0.016402684152126312,652.4715274572372,863.1811103820801,-0.014528125524520874,625.4157721996307,841.8989279270172,-0.03068564273416996,621.9039112329483,885.4614144563675,-0.008078831247985363,634.7878128290176,893.3511313199997,0.015991248190402985
A,1591.7729272842407,2099.6990184783936,-1.8580013829705422e-06,1318.5858635902405,1917.079137802124,-0.03439883515238762,1120.2648224830627,1682.8309059143066,-0.0595383495092392,1027.7131147384644,1480.2968378067017,-0.09204194694757462,1096.1407556533813,1311.7482738494873,-0.1108841672539711,1420.2085382938385,1325.1836214065552,0.012737284414470196,1199.862612247467,1321.2852010726929,-0.057341113686561584,1250.7173058986664,1563.2297039031982,-0.09094341099262238,1337.2119140625,1579.3047380447388,-0.10860617458820343,1562.4690206050873,1331.391921043396,-0.0044657159596681595,1348.087954044342,1359.9027471542358,-0.07988689839839935,1384.3589243888855,1629.8513889312744,-0.07943753153085709,1471.3262486457825,1605.2643175125122,-0.0638585239648819,1706.9940490722656,1379.3260622024536,-0.036442652344703674,1508.1118519306183,1385.742564201355,-0.11668988317251205,1511.948855638504,1647.9742069244385,-0.07264871895313263,1601.9883162975311,1643.442274093628,-0.023949161171913147,1845.4846637248993,1461.014934539795,-0.07426377385854721,1683.5781927108765,1443.1687984466553,-0.11417952924966812,1637.8933203220367,1626.5761938095093,-0.08007675409317017,1703.2644860744476,1651.2908582687378,-0.04342323914170265
A,1583.4359657764435,1993.1215190887451,-1.932363602463738e-06,1328.0439856052399,1836.1306428909302,-0.02363622561097145,1136.2675001621246,1590.3425340652466,-0.03929784148931503,1061.0397720336914,1377.5205669403076,-0.06348877400159836,1124.2342557907104,1204.297890663147,-0.07602976262569427,1429.098940372467,1277.277117729187,0.015509766526520252,1221.4024593830109,1232.2740850448608,-0.05041045323014259,1267.5881459712982,1471.441328048706,-0.0762675330042839,1351.1668846607208,1497.0201244354248,-0.087179034948349,1570.1806840896606,1286.9853205680847,-0.004382199142128229,1351.5607187747955,1260.4347596168518,-0.07757871598005295,1381.266981124878,1543.0587949752808,-0.07175281643867493,1474.118901014328,1533.8083763122559,-0.05045362934470177,1710.6096074581146,1328.4373207092285,-0.037821974605321884,1507.5541505813599,1281.6919751167297,-0.11980875581502914,1512.368024110794,1560.502498626709,-0.07359930127859116,1604.2205035686493,1569.065818786621,-0.020921794697642326,1848.8955895900726,1399.8765258789062,-0.07503819465637207,1680.1159071922302,1334.214322090149,-0.11869103461503983,1636.0108623504639,1532.3503456115723,-0.08253248035907745,1701.7642314434052,1574.409372329712,-0.043080538511276245
A,1593.1320004463196,2003.0224933624268,-1.917530425998848e-06,1329.6428139209747,1846.1532220840454,-0.025727737694978714,1135.5807087421417,1601.1300573349,-0.0421251617372036,1061.2193005084991,1392.1673574447632,-0.066494882106781,1112.19801735878,1218.719205379486,-0.07837188243865967,1424.1687591075897,1282.6126871109009,0.016026170924305916,1222.3510007858276,1240.1483874320984,-0.04904089495539665,1272.298724412918,1481.5394496917725,-0.07790958881378174,1355.5762145519257,1514.4825601577759,-0.09158480912446976,1564.0946803092957,1291.2870178222656,-0.0024346024729311466,1352.1264810562134,1276.2045531272888,-0.0740603432059288,1389.797174692154,1547.8970432281494,-0.07104135304689407,1481.7760956287384,1540.6225509643555,-0.053616706281900406,1704.005976676941,1329.269362449646,-0.03454742208123207,1505.604326248169,1292.6885452270508,-0.11149334162473679,1513.031323671341,1560.3535633087158,-0.06645246595144272,1604.1147902011871,1571.712414741516,-0.017166025936603546,1843.5012137889862,1397.568489074707,-0.07129452377557755,1678.34135055542,1337.788462638855,-0.11027801036834717,1631.6843297481537,1530.7192735671997,-0.07409770041704178,1692.0361833572388,1576.0768337249756,-0.03613656386733055
A,1615.6248800754547,1899.9985599517822,-1.6974455547824618e-06,1366.57754445076,1755.5030498504639,-0.028093526139855385,1173.2754700183868,1514.1132926940918,-0.04018188267946243,1102.3286726474762,1299.80535030365,-0.05867334082722664,1156.5279622077942,1127.5071477890015,-0.06414798647165298,1416.9898080825806,1253.6019296646118,0.02167057991027832,1261.532428264618,1175.5034732818604,-0.044238168746232986,1306.1501483917236,1408.6118125915527,-0.07157240062952042,1373.9262356758118,1428.8083629608154,-0.0829191505908966,1556.4598259925842,1261.596685409546,0.007516663521528244,1390.896455526352,1180.146339893341,-0.0663902685046196,1414.8693222999573,1453.8726415634155,-0.06460969895124435,1490.7756657600403,1451.491979598999,-0.04443847015500069,1696.5000972747803,1290.6642532348633,-0.0210906732827425,1544.7890932559967,1197.1764025688171,-0.10184696316719055,1547.0513362884521,1470.660722732544,-0.060897234827280045,1626.930567741394,1486.7663116455078,-0.010954223573207855,1841.291366815567,1342.3259229660034,-0.05353708565235138,1706.590426683426,1260.2028350830078,-0.09654094278812408,1669.357441663742,1456.308578491211,-0.06441590934991837,1727.1090688705444,1498.0029439926147,-0.02773171104490757
A,600.0954508781433,1055.3985973596573,-1.115786176342226e-06,531.2178879976273,1028.6476180553436,-0.018073303624987602,480.0581932067871,947.5669540166855,-0.017536671832203865,458.4159404039383,881.6567367315292,-0.02187512256205082,441.9977366924286,831.1641708612442,-0.01769615150988102,512.2565031051636,884.4098603725433,0.028042735531926155,493.27558279037476,839.5156173706055,-0.01773066632449627,504.17138636112213,900.6978566646576,-0.037107937037944794,519.9684351682663,930.1292055845261,-0.040590252727270126,556.4266741275787,878.5273594856262,0.018968826159834862,534.6080213785172,839.5542604923248,-0.025047019124031067,541.9011265039444,913.0613497495651,-0.026448870077729225,558.6836636066437,926.5078043937683,-0.012313341721892357,603.7088334560394,881.2701464891434,-0.0011962507851421833,581.8059593439102,844.5365197658539,-0.04471350088715553,582.7088356018066,912.9579833745956,-0.018621666356921196,597.3865538835526,926.3796300888062,0.01350133866071701,654.2961001396179,890.4964700937271,-0.024675006046891212,633.1939995288849,855.2997423410416,-0.04197995737195015,622.854083776474,904.4924362897873,-0.016256950795650482,631.2228441238403,923.0095682144165,0.010574962943792343
A,970.4282879829407,1656.4898490905762,-1.7416970194972237e-06,735.985279083252,1360.9123229980469,-0.07699695229530334,690.5607581138611,943.7992572784424,-0.09314382076263428,729.7409176826477,595.2140688896179,-0.1093723475933075,716.3126468658447,325.5452811717987,-0.10600195080041885,914.9020910263062,730.15296459198,0.03416842222213745,1045.4473495483398,485.83146929740906,-0.06795410066843033,968.8230752944946,759.8819732666016,-0.12272881716489792,904.8467874526978,903.6783576011658,-0.14150097966194153,1127.8223991394043,841.9693112373352,0.03841730207204819,1237.1907234191895,636.7935538291931,-0.0716545581817627,1085.587501525879,959.854006767273,-0.10148075222969055,1021.6599702835083,1027.8600454330444,-0.09393203258514404,1297.6994514465332,980.1650047302246,0.018684079870581627,1408.7659120559692,793.8230037689209,-0.09714377671480179,1226.8368005752563,1078.688144683838,-0.07446183264255524,1158.750295639038,1147.2344398498535,-0.0267807487398386,1455.6217193603516,1126.0731220245361,-0.008035100996494293,1526.0099172592163,1004.4586658477783,-0.07006996870040894,1372.0266819000244,1176.8393516540527,-0.04423290863633156,1304.7800064086914,1223.743200302124,-0.006644240580499172
A,986.004889011383,1531.3944816589355,-1.3868377664039144e-06,795.9423065185547,1296.2853908538818,-0.038250215351581573,710.3495597839355,1000.3170967102051,-0.05804106220602989,714.6511077880859,753.2719373703003,-0.08353251963853836,771.7715501785278,563.7537240982056,-0.1005474179983139,893.4791088104248,857.5814962387085,0.008932352997362614,956.9746851921082,664.8160219192505,-0.06390678882598877,938.3052587509155,848.663330078125,-0.10689970850944519,911.4695191383362,997.664749622345,-0.12292487174272537,1048.2168197631836,926.2625575065613,0.000758026319090277,1116.3705587387085,749.8501539230347,-0.07766781002283096,1053.2139539718628,982.790470123291,-0.1041569784283638,1001.706600189209,1114.7034168243408,-0.10310059040784836,1199.070692062378,1009.2933177947998,-0.01940019801259041,1257.7345371246338,845.2417850494385,-0.09447932243347168,1170.5584526062012,1065.2801990509033,-0.07737275958061218,1113.9392852783203,1187.9987716674805,-0.04371121525764465,1338.1030559539795,1112.9112243652344,-0.04320657253265381,1372.8429079055786,962.8898501396179,-0.08334551006555557,1296.5528964996338,1102.5457382202148,-0.06026346981525421,1253.429651260376,1193.9496994018555,-0.03036549501121044
A,920.7395315170288,1720.908522605896,-1.7335373740934301e-06,684.7261190414429,1423.5694408416748,-0.06947743147611618,655.9196710586548,991.5665984153748,-0.07894416898488998,707.8381776809692,645.9252834320068,-0.08893577009439468,690.3902292251587,385.7129216194153,-0.07991302013397217,891.6850090026855,790.2988791465759,0.04169226065278053,1012.3971700668335,554.4002652168274,-0.05176492780447006,926.4970421791077,820.6995725631714,-0.10072119534015656,864.795982837677,961.0691666603088,-0.11694727838039398,1102.0532846450806,899.6844291687012,0.04361847788095474,1203.4379243850708,694.5086717605591,-0.05759187042713165,1034.1310501098633,1013.322114944458,-0.08294133841991425,971.5522527694702,1082.9063653945923,-0.07329510897397995,1265.2174234390259,1041.6679382324219,0.0224421676248312,1376.4373064041138,858.5938215255737,-0.08532993495464325,1177.0671606063843,1135.4098320007324,-0.06098410487174988,1110.1963520050049,1210.7611894607544,-0.013892828486859798,1421.4812517166138,1193.9470767974854,-0.00526762567460537,1483.5035800933838,1073.451280593872,-0.06192896515130997,1320.675253868103,1243.4594631195068,-0.03470967710018158,1261.8601322174072,1293.4160232543945,0.0027706697583198547
A,1032.7270030975342,1448.0843544006348,-1.7470657667217893e-06,752.1710991859436,1241.5735721588135,-0.058540355414152145,587.6537561416626,909.8988771438599,-0.08464314043521881,593.3550596237183,598.5704660415649,-0.1121811494231224,700.8780241012573,388.2359564304352,-0.12581536173820496,836.1743688583374,678.6115765571594,0.0010462835198268294,876.1775493621826,474.9003052711487,-0.08518068492412567,850.532054901123,723.4663963317871,-0.12859056890010834,844.3704843521118,864.543080329895,-0.14394433796405792,1041.260838508606,732.5385212898254,-0.002514659659937024,1070.786476135254,546.3471412658691,-0.09492353349924088,1007.7869892120361,838.4014368057251,-0.11555834859609604,996.8668222427368,935.7859492301941,-0.10697759687900543,1226.001501083374,811.9086623191833,-0.022361690178513527,1245.692491531372,655.5184721946716,-0.11589599400758743,1157.834529876709,926.6301393508911,-0.0901215597987175,1142.7562236785889,1008.1719160079956,-0.04658856987953186,1411.1353158950806,911.2576842308044,-0.046955935657024384,1395.143985748291,771.4952230453491,-0.09082348644733429,1318.2094097137451,951.447606086731,-0.0592983104288578,1311.3962411880493,1018.4096097946167,-0.02211248129606247
